-aĉ-;<i>(disparagement)</i>
-ad-;<i>(ongoing or habitual action)</i>
-aĵ-;<i>(concrete manifestation)</i>
-an-;<i>(member of group)</i>
-ar-;<i>(collective, group)</i>
-ĉj-;<i>(male pet name)</i>
-ebl-;<i>(possibility)</i>
-ec-;<i>(abstract name of quality)</i>
-eg-;<i>(augmentative)</i>
-ej-;<i>(place)</i>
-em-;<i>(disposition, tendency)</i>
-end-;<i>(passive obligation)</i>
-er-;<i>(small particle of whole)</i>
-estr-;<i>(leader, head)</i>
-et-;<i>(diminutive)</i>
-foj-;<i>(frequency | n-times)</i>
-id-;<i>(offspring)</i>
-ig-;<i>(causative | make, render)</i>
-iĝ-;<i>(become, get)</i>
-il-;<i>(tool, implement, means)</i>
-in-;<i>(female)</i>
-ind-;<i>(worthiness)</i>
-ing-;<i>(socket, holder)</i>
-ism-;<i>(ism, theory, behaviour)</i>
-ist-;<i>(habitual occupation)</i>
-nj-;<i>(female pet name)</i>
-obl-;<i>(multiple | n-fold)</i>
-on-;<i>(fraction | n-th)</i>
-op-;<i>(collective | n-group)</i>
-uj-;<i>(container | country)</i>
-ul-;<i>(person characterised by)</i>
-um-;<i>(ambiguous relation)</i>
(aer)letero;(airmail) letter
(aŭtomata) lavbutiko;launderette
(dom)mastrino;housewife
(dom)mastrumado;housekeeping
(dom)mastrumi;keep/ manage house
(el)montri;display
(Eŭropa) Komunumo;(European) Community
(fest)parolado;(celebration) speech
(frukto) suko;(fruit) juice
(internacia) respondkupono.....;(international) (pre-paid) reply coupon
(kiel) nomiĝas.....;known as, called
(kontraŭtusa) siropo;(cough) syrup
(krad)rosti;grill, toast
(kuirita) ŝinko.....;ham
(kun) bondeziroj;(with) best wishes
(kun) plezuro;(with) pleasure
(laŭ mia) opinio;(in my) opinion
(libera) konkurenco;(open) competition
(loka) anastezo;local anaesthetic
(longedaŭra) disko;(long playing) record
(mi) sentas (min).....;(I) feel <i>(tr)</i>
(mon)puno;fine
(nigra) tabulo ;(black)board
(pop)grupo;(pop) group
(preter)pasi;pass by, overtake
(psika) kolapso;(mental) breakdown
(sin) forpreni;remove (oneself)
(stud)programo;curriculum
(sun)baniĝi;sunbathe
(sur)porti;wear (clothing)
(tut)nova;(brand) new
(vic)prezidantino;(vice)(lady)president
(vic)prezidanto;(vice)president
(vic)prezidonto;(vice)president-elect
/u>o;boarder
abdomeno;abdomen
abituriento;certified secondary school leaver
abituro;German exam for 18-year olds (i.e. by <i>abituriento</i>)
abomeni;abhor, loathe
aboni;subscribe to (magazine, book club, season ticket, <i>etc.</i>)
aboni;subscribe
abrikoto;apricot
aĉeti;buy
acida;sour | acid
adiaŭi;bid farewell, (permanent) goodbye
adjektivo;adjective
administrado;administration
admiri;admire
admoni;exhort | tell off, admonish
adori;adore, worship
adreso;(postal) address
adverbo;adverb
aermatraco;airbed
afabla;kind, affable
aferisto;businessman
afero;matter | affair | business
afikso;affix
afiŝeto;leaflet, fly-poster
afiŝo;poster, bill
afiŝo;poster, bill
afranki;pre-pay (postage, carriage)
Afriko;Africa
aĝa;aged
agi;act
aĝo;age
agrabla;pleasant, enjoyable
agrikulturo;agriculture
ajlo;garlic
akcelilo;accelerator
akcento;accent, stress
akceptejo;registration desk, reception
akcepti;accept | receive (guests)
akcidento;accident, mishap
akiri;acquire, get
akompani;accompany
akordi;agree, be in accord
akra;sharp
aktiva;active
aktoro;actor
aktuala;topical, current
aktualaĵo;news
akurata;punctual, prompt
akuzativo;accusative
akvo;water
al;to | towards
aleo;avenue, garden walk
alergio;allergy
alia;other | another | else
alie;otherwise
aligatori;speak foreign language at E-o mtg
aliĝi;entrol, join (a society, etc)
aliĝilo;enrolment form, registration form
alilandano;foreigner
alilande;abroad
alineo;paragraph | indentation
alkoholaĵo;spirit, liquor
alkutimiĝi;become used to, accustomed to
almenaŭ;at least
Alpoj;Alps
altlernejo;college
alumeto;match
alveni;arrive
alveni;arrive
alvoko;call
amatoro;amateur | enthusiast
ambaŭ;both
ambicio;ambition
ambicio;ambition
ambulanco;ambulance | field hospital
Ameriko;America
ami;love
amikiĝi (kun);make friends (with)
amiko;friend
amplifikatoro;amplifier
ampolo;(light)bulb
amuzi;amuse
amuziĝi;be amused, entertained
ananaso;pineapple
anaso;duck
anemio;anaemia
angla;English
anglalingve;in English
Anglio;England
anglo;Englishman
angulo;angle | corner
aniĝi;join, become a member
ankaŭ;also | too
ankoraŭ;still
ankoraŭ ne;not yet
ano;member
anonci;announce
anorako;anorak
ansero;goose
anstataŭ;instead of
anstataŭigi;substitute
antaŭ;before, in front of
antaŭĝoji;look forward to
antaŭhieraŭ;day before yesterday
antaŭnomo;forename
antaŭrajto;?right of way
antaŭurbo;suburb
antenti;pay attention
antibiotiko;antibiotic
anticipi;anticipate
Antiloj;Antilles
aparta (domo);detached (house)
apartamento;flat, apartment
aparte;apart, separately | particularly
aparteni;belong
aparteni;belong
apenaŭ;scarcely | hardly
apendicito;appendicitis
apendico;appendix
aperitivo;aperitif
apetito;appetite
aplaŭdi;applaud, clap
apoteko;pharmacy, chemist's shop
aprilo;April
apud;beside, nearby
aranĝi;arrange
arbaro;wood
arbo;tree
Argentino;Argentina
arĝento;silver
aristokratio;aristocracy
aromherbo;(culinary) herb
artefarita;artificial
artefarita;artificial
artgalerio;art gallery
artiklo;article
artikolo;article
artiŝoko;(globe) artichoke
artisto;artist
arto;art
asekuro;insurance
asparago;asparagus
aspekti;look, seem
astmo;asthma
ateisto;atheist
atendejo;waiting room
atendi;wait
atenti;pay attention to
atentu!;"pay attention!"
atestanto;witness
atesti;testify, bear witness | certify, attest
atlant(ik)o;Atlantic
atletiko;athletics
atmosfero;atmosphere
aŭ;or
aŭ... aŭ;either... or
aŭdantaro;audience
aŭdi;hear
aŭditorio;auditorium
aŭgusto;August
aŭskulti;listen (to)
Aŭstralio;Australia
Aŭstrio;Austria
aŭtejo;garage
aŭto(mobilo);car
aŭtobuso;bus, coach
aŭtoĉaro;motor-coach (for excursions)
aŭtolavejo;carwash
aŭtomato;automat, automaton
aŭtomekanikisto;(car) mechanic
aŭtoparkejo;car park
aŭtoŝtopi;obstruct traffic, block traffic
aŭtovojo;motorway, expressway
aŭtuno;autumn, fall
aŭtuno;autumn, fall
avengrio;oatmeal
avenkaĉo;porridge
avenuo;avenue
averti;warn, caution
aviadilo;aircraft
avino;grandmother
avo;grandfather
avokado;avocado
Azio;Asia
B.E.A;<i>Brita Esperantista Asocio</i>= British E-o Association (limited company)
babili;chat, chatter, babble
bakalaŭro;holder of the baccalaureate
baki;bake <i>(tr)</i>
bakisto;baker
bakisto;baker
bakitaj;baked
bakujo;oven
balbuti;stammer, stutter
baldaŭ;soon
baleno;whale
baleto;ballet
balkono;balcony
balkono;balcony
balo;ball, dance
balo;ball, dance
banano;banana
banĉambro;bathroom
bandaĝo;bandage
bankedo;banquet
bankedo;banquet
banko;bank
bankostumo;bathing costume
bankuvo;bathtub
bantuko;towel
banujo;bath
barbo;beard
bariero;barrier (<i>e.g.</i> level crossing, customs, <i>etc.</i>)
barometro;barometer
basbalo;baseball
baterio;battery
bateti;whisk, beat lightly
bati;beat, strike
batilo;(<i>e.g.</i> cricket) bat
batmiksita;whipped, creamed together
bazaro;market | bazaar
bebo;baby
bedaŭri;regret | be sorry about
bedaŭrinde;unfortunately
bekfluto;recorder
bela;lovely | beautiful | handsome
Belgio;Belgium
benzinejo;petrol station
benzino;petrol, gasoline
benzinstacio;petrol station
bero;berry
bestkuracisto;vet (animal doctor)
bestoĝardeno;zoo
bezoni;need, require
bezoni;need
biblio;Bible
biblioteko;library
biciklo;bicycle
biciklo;bicycle, bike
bideo;bidet
biero;beer
bilanco;balance sheet
bildo;picture
biletejo;ticket office
bileto;ticket
biologio;biology
birdo;bird
birdo;bird
biskvito;biscuit, cracker
biskvito;biscuit, cracker
blanka;white | blank
blinda;blind
blizardo;blizzard
blonda;blond(e), fair-haired
blonda;blond(e), fair-haired
blovi;blow
blua;blue
bluzo;blouse | windcheater
bo-;<i>(in-law)</i>
boato;boat
boato;boat
boji;bark
bokalo;wide-mouthed bottle, jar | goldfish bowl
bokso;boxing
boligi;boil (something)
bombono;sweet, bonbon, candy
bona;good
bonan apetiton;"bon apetit!"
bonan matenon;"good morning"
bonan nokton;"good night"
bonan tagon;"good day"
bonan vesperon;"good evening"
bonan vojaĝon;"bon voyage!"
bone;well
bongusta;delicious, nice, tasty, savoury
bonŝancon.....;"good luck!"
bonvena;welcome
bonvenigi;welcome (someone)
bonvolu;please
boparencoj;in-laws
botanika ĝardeno;botanical garden
botelo;bottle
botelo;bottle
bovaĵfritbulo;beefburger
bovaĵo;beef
bovo;bullock
brakhorloĝo;wristwatch
brako;arm
brakseĝo;armchair
brancerealoj;bran cereals
brando;brandy, schnapps | spirits
branflokoj;bran flakes
brano;bran
branpano;wholemeal bread
Brazilio;Brasilia
Brazilo;Brazil
bremso;brake
bretaro;shelves, shelving
breto;shelf
brezi;braise
briko;brick
brili;shine <i>(intr)</i>
brita;British
Britio;Britain
brizo;breeze
bronkito;bronchitis
brosi;brush
broso;brush
broŝuro;brochure, pamphlet, leaflet
brovo;(eye)brow
bruli;burn <i>(intr)</i>
brulvundo;burn (injury)
brumo;mist
bruna;brown
bruo;noise
bruselbrasiketo;brussels sprouts
brusto;chest, breast
buĉisto;butcher
buĉisto;butcher
budhismo;Buddhism
bufedo;buffet
bufro;buffer | bumper
buĝeto;budget
bukedo;bouquet
buklita;curled, permed
Bulgario;Bulgaria
buljono;bouillon, broth
bulko;roll (bread)
bulo;lump, ball, clod, chunk
bulvardo;boulevard
buŝa;oral
buŝa;oral
buŝo;mouth
butero;butter
buterujo;butter dish
butiko;shop
butikumi;go shopping
butono;button | stud | knob
C.E.D.;<i>Centro de Esploro kaj Dokumatado pri la monda lingva problemo</i> = Centre for Research and Documentation on the World Language Problem
C.O.;<i>Centrala Oficejo</i> = Head Office (of UEA)
ĉambro;room | chamber
ĉampano;champagne
ĉampioneco;championship
ĉapelo;hat
ĉar;because, since | for
ĉareto;handcart, barrow | carriage (of typewriter)
ĉarma;charming
ĉe;at | by | next to | in the case of, with
ĉeesti;be present, attend
ĉeesto;attendance, presence
ĉefa;chief, main, principal
ĉefstrato;high street, main street
ĉefurbo;capital (city)
Ĉeĥoslovakio;Czechoslovakia
ĉekaro;cheque book
celerio;celery
Celsiusgrado;degree Celsius
ĉemizo;shirt
ĉenbutiko;chain-store
cendo;(US) cent, ¢ (small coin), =<sup>1</sup>/<sub>100</sub> dollar
centavo;(South American) centavo (small coin), =<sup>1</sup>/<sub>100</sub> peso
centimetro;centimetre
centimo;(French) centime (small coin), =<sup>1</sup>/<sub>100</sub> franc
centra hejtado;central heating
centralo;telephone exchange | power station
centro;centre
cepo;onion
cerbo;brain
cerealo;cereal
ĉerizo;cherry
certa;certain | sure
ĉesi;cease, desist <i>(intr)</i>
cetera;remaining
ĉevalo;horse
ĉevalpovo;horsepower
ĉi-tie;here
ĉi-tien;to here
ĉi-tio;this
ĉia;every kind of
ĉial;for every reason
ĉiam;always
ĉie;everywhere
ĉiel;in every way
ĉielo;sky | heaven
ĉien;to everywhere
ĉies;everyone's, each one's
cigaredo;cigarette
cigareto;small cigar, cigarillo
cigaro;cigar
ĉimpanzo;chimpanzee
ĉina;Chinese
cindro;ash | cinder
cindrujo;ash tray
cindrujo;ash tray
Ĉinio;China
ĉino;Chinaman
ĉio;everything
ĉiom;all, totally, the whole quantity
ĉiovendejo;department store
ĉirkaŭ;(a)round, about
ĉirkaŭaĵo;surroundings, environment
citrono;lemon
ĉiu;each, every | each one, everyone
ĉiutage;every day
ĉokolado;chocolate
ĉu;(<i>question</i>)
ĉu ion pli?;"anything else?"
ĉu ne?;isn't it?
ĉu... ĉu;whether... or
D.M.;<i>Dumviva Membro</i> = Life Member
da;of (measure but <u>not</u> numeral)
daktilo;date (fruit)
danci;dance
danĝero;danger, peril
danĝero;danger, peril
danĝero;danger, peril
Danio;Denmark
danki (pro);thank (for)
dankon;thank you
Danubo;Danube
dato;date
dato;date
de;of | from | since | by
debeto;debit
debeto;debit
debuti;debut
decembro;December
decidi;decide, resolve
defendanto;defender
degeli;thaw | melt (<i>e.g.</i> ice, snow) (<i>intr</i>)
dek;ten
deklamado;recitation | declamation
deklari;declare, state
deklari;declare, state
dekstra;right (hand)
deligito;delegate
delto;delta
demandi;ask (a question)
demokratio;democracy
denove;again
denove;again, afresh
dentisto;dentist
dento;tooth
dentobroso;toothbrush
dentodoloro;toothache
dentopasto;toothpaste
dependi;depend
desegnado;drawing | design
desegni;draw | design
deserto;dessert
detabilgi (la servicon);clear away (the dishes)
detektivo;detective
deviga;compulsory
deziri;wish, desire
diable!;"damn!"
diablo;devil
dialekto;dialect
diapozitivo;(photo) slide, transparency
diareo;diarrhoea
digesti;digest
digo;dike | embankment
dika;thick | stout | fat
diktatoro;dictator
dimanĉo;Sunday
dio;god
diplomo;diploma
direkte al;in the direction of, towards
diri;say | tell
dirite farite;said and done
dis-;<i>(apart | separation)</i>
diservo;(religious) service
diski;dial (<i>e.g.</i> telephone)
diskoklubo;record club
diskoteko;record library | discotheque
diskturnilo;record player, turntable
diskuti;discuss
distra vespero;entertainment evening
distraĵo;entertainment, amusement
distri (sin);entertain, divert (oneself) | distract
distrikto;district
diversa;varied
do;therefore, so
dogano;customs
dogmo;dogma
dokumentado;documentary
dokumento;document | warrant, certificate
dolaro;(US) dollar, $ (currency)
dolĉa;sweet | soft, gentle, tender
domaĝi;begrudge | not want to spoil | think a pity
domgaraĝo;(domestic) garage
domo;house | building | household
donaco;present, gift
doni;give, impart
doni;give | impart, confer
dorlotbesto;pet
dormĉambro;bedroom
dormi;sleep
dormigilo;sleeping pill
dormosako;sleeping bag
dorso;back
dorsosako;rucksack, back-pack
dozo;dose
dramo;drama
dratkorbo;wire basket
drato;wire
dribli;dribble (a football)
drinkejo;public house, bar
drinkejo;public house, bar
drinki;drink (to excess), booze
drogo;drug, pharmaceutical
du;two
duagrada;secondary
dulita;double (room)
dum;meanwhile
dunganto;employer
dunganto;employer
dungito;employee
dungito;employee
duono;half
duŝ(il)o;shower
duŝi;shower
E.A.B.;<i>Esperanto Asocio de Britio</i> = E o Association of Britain (Charity)
eble... eble;perhaps... or
ebria;drunk, inebriated
eĉ;even
edukado;upbringing, (loosely) education
edukpensiono;boarding school
edziĝi;marry (become a husband)
edziĝi (kun);wed, marry, (become husband to)
edziniĝi;marry (become a wife)
edziniĝi (kun);wed, marry, (become wife to)
edzino;wife
edzino;wife
edzo;husband
edzo;husband
eglefino;haddock
ek de;since, from
ek-;<i>(beginning | sudden)</i>
ekflugi;take off (in aeroplane)
ekonomio;economy
ekpluvo;start to rain
ekrano;screen
eks-;<i>(former)</i>
ekscitiĝi;get excited
eksedziĝinta;divorced (man)
eksedziniĝinta;divorced (woman)
eksiĝi;resign
ekskurso;excursion, outing
eksperimento;experiment
ekspreso;express (train, messenger)
ekster;outside | besides
eksterlandano;foreigner
eksterlande;abroad
ekzameni;examine
ekzameniĝi;sit an exam
ekzameno;examination
ekzemo;eczema
ekzemple;for example
ekzemplero;copy (of book <i>etc.</i>)
ekzemplo;example
ekzemplo;example
ekzerco;exercise
ekzisti;exist, be
el;out of | from | made of
elasta ŝnuro;elastic
elefanto;elephant
elektebla;optional
elekti;choose | elect
elekti;choose | elect
elektristo;electrician
elektro;electricity
elirejo;exit
eliri;leave, go out
eliri;leave, go out
elkore;heartily, from the heart
ellitiĝi;get up (out of bed)
elsendi;transmit
elŝipiĝi;disembark (a ship)
elvagoniĝi;disembark (a train)
emerit(ul)o;retired person, pensioner
emerit(ul)o;pensioner
emeritiĝo;retirement
en;in | at
en ordo;in order, OK
en ordo;OK, all right
endormiĝi;fall asleep
enhavo;content(s)
enirejo;entrance
eniri;enter
enlandano;national (i.e. not foreigner)
enlande;at home (not abroad)
enlande;in one's country (not abroad)
enlasi;admit
enlitiĝi;go to bed
enloĝanto;inhabitant
enmeti;put in, enclose
enpoŝtigi;post (<i>e.g.</i> a letter)
enŝipiĝi;embark (a ship)
entuziasma;enthusiastic
envagoniĝi;embark (a train)
envenu!;"come in!"
eraro;error, mistake
eraro;error, mistake
escepte de;except from
eskalopo;escalop
eskudo;(Portugese) escudo (currency)
Esperantiĝi;become an Esperantist
Esperantisto;Esperanto speaker
Esperantlingve;in Esperanto
Esperantujo;place/"land" of Esperantists
espereble;hopefully
esperi;hope
esprimi;express
esprimi;express
esprimo;expression
esti;be
estimata;esteemed, honoured | (in a letter:) dear (<i>e.g. </i>Dear Sir)
estimi;esteem, think highly of
estraro;executive, board (collection of leaders)
estuaro;estuary
etaĝo;storey
etoso;atmosphere
etoso;atmosphere (<i>fig.</i>) | ethos
eŭroo;Euro € (currency)
Eŭropo;Europe
evangeliisto;evangelist
evolui;develop <i>(intr)</i>
f-ino;Miss
f-o;Master, (<i>loosely</i>) Mr
fabo;bean, broad bean
fabriko;factory
facila;easy | light, gentle
fajrbrigadano;fireman
fajrigi;set alight
fajrilo;(<i>e.g.</i> cigarette) lighter
fajro;fire
fajro;fire
fako;specialisation, department | pigeon-hole, compartment
fakto;fact
fakto;fact
fakturo;invoice
faldebla;folding
faldfolio;flysheet, pamphlet
fali;fall | drop <i>(intr)</i>
falsaj amikoj;"false friends", words with misleading similarities
famekonata;well known, renown
familio;family
famo;fame
fanfaroni;boast, brag
farĉi;stuff (culinary)
fare de;by (means of)
Farenhejtgrado;degree Fahrenheit
fari;make, do
farmbieno;farm
farmi;farm
farmisto;farmer
faro;deed
farti;fare
farunaĵoj;pastries (as in Danish pastry)
faruno;flour
faŝisto;fascist
favori;favour
fazeolo;french bean, kidney bean, haricot
FD.;<i>fakdelegito</i> = specialist representative
febro;fever
februaro;February
federacio;federation
feliĉa;happy | fortunate
feliĉan kristnaskon.....;"happy Christmas!"
feliĉan novjaron;"happy new year!"
feliĉan paskon;"happy Easter"
feltkrajono;felt-tip pen
femuraĵo;? leg (<i>e.g.</i> of lamb)
femuro;thigh
fenestro;window
feno;(Chinese) fen (small coin), =<sup>1</sup>/<sub>100</sub> yuan
ferii;go on holiday, take a vacation
ferioj;holidays, vacation
fermi;close, shut <i>(tr)</i>
fermilo;(<i>e.g.</i> window) catch
fermita;closed
fervojo;railway, railroad
fervoro;fervour, zeal
fervorulo;fan
festi;celebrate, hold a party
festo;feast, festivity | party
festotago;bank holiday, public holiday
fi-;<i>(shameful | disgusting)</i>
fi!;"for shame!"
fianĉiĝi;get engaged
fianĉo;fiancé
fidela;faithful
fidi;trust | rely on
filino;daughter
filmi;film
filmo;film
filo;son
finaĵo;ending
finfine;at last
fingro;finger
fini;finish, end <i>(tr)</i>
Finnlando;Finland
fino;end
finstacio;terminus
firmao;(business) firm
firmo;firm | (business) firm
fiŝado;fishing
fiŝaj-briketoj;fish fingers
fiŝkapti;(catch) fish
fiŝo;fish
fiŝo;fish
fiziko;physics
flandra;Flemish
flanko;side
flankokupo;hobby, sideline
flano;(thin flat) pastry | baked-custard tart | dropscone
flari;smell <i>(tr)</i>
flava;yellow
flegi;nurse (in sickness)
flegisto;a nurse
flirti;flutter | stream | flit | flirt
florbedo;flower bed
florbrasiko;cauliflower
florkesto;window box
floro;flower
floro;flower
florpoto;flowerpot
flua;fluent
fluanta;flowing
flughaveno;airport
flugmaŝino;aircraft
flui;flow, run
flustri;whisper
fluto;flute
fojo;time, occasion
folio;leaf | sheet (of paper)
fontano;fountain
for;away, off
foresto;absence
forgesi;forget
forinto;(Hungarian) forint (currency)
foriri;depart
foriri;depart
foriro;departure
forko;fork
forlasi;abandon | relinquish
formo;form, shape
forno;furnace, boiler | kiln
forta;strong
fotelo;armchair | (theatre) stall
foti;photograph
fotilo;camera
foto;photograph
fotoaparato;(still) camera
fotografaĵo;photograph
frago;strawberry
frakturo;fracture, break a bone
frambo;raspberry
franca;French
Francio;France
franco;Frenchman
franko;(French, Belgian, Swiss) franc (currency)
frapi;knock
fratino;sister
frato;brother
fraŭlino;spinster
fraŭlo;bachelor
frazo;sentence
fremda;foreign, strange | extraneous
fremda;foreign, strange | extraneous
fridigita;chilled, refrigerated
fridujo;refrigerator
fripono;rascal, rogue, crook
fritaĵo;fritter
friti;fry
frititaj terpomoj;chips, fried potatoes
frizisto;(ladies) hairdresser
fromaĝo;cheese
frosti;freeze <i>(intr)</i>
frostigi;freeze (something)
frostigilo;freezer
frua;early
fruktovendejo;fruit shop, fruitier's
frunto;forehead
fulmo;lightening
fumado malpermesata;no smoking
fumaĵita;smoked, smoke-cured
fumi;smoke
funkcii;function | work
funkciigi;get working
funto;pound (weight)
furioza;furious
futbalo;football (game)
futo;foot (measure)
gaja;gay, cheerful
gaja;gay, cheerful
gajan kristnaskon;"merry Christmas!"
gajni;win
galerio;gallery
galjono;gallon
ganto;glove
garaĝisto;garage worker
garaĝo;garage (car) | dock (boat) | (train) siding
ĝardeno;garden
gaso;gas
gaspedalo;accelerator, gas pedal
gasti;receive hospitality, stay (with someone)
gastigi;entertain, host
gasto;guest
gazetbudo;newspaper kiosk, booth
gazeto;magazine, periodical, gazette
gazeto;magazine, periodical, gazette
gazono;lawn
ge-;<i>(both sexes together)</i>
geavoj;grandparents
geedziĝintaj;married
geedzoj;married couple
gefiloj;children
gefratoj;siblings
ĝemeldomo;semi-detached house
ĝemelo;twin
genepoj;grandchildren
ĝenerala;general
genevoj;nephew(s) and niece(s)
ĝeni;inconvenience, disturb
